"Laboratory Name","Lab Id","User Name",Mobile,Email,State,District,Disciplines,"Certificate No","Date of Issue","Date of Expiry",Address,"Pin Code"
"Shubham Test",MBC-73,NABLBCL000893,9910912296,shubham.singh@qcin.org,Delhi,WEST,"Clinical Biochemistry","QAS-BC-Entry Level-00035","2020-11-17 00:00:00","23-11-17 00:00:00","Sanjay Enclave, Uttam Nagar, WEST, Delhi 110059, India",110059
"7techies testing",MBC-81,NABLBCL000929,9717538719,anilsharma.7t@gmail.com,Delhi,"NEW DELHI","Clinical Biochemistry","QAS-BC-Entry Level-00036","2020-09-04 00:00:00","23-09-04 00:00:00","7techies Bhawan, NEW DELHI, Delhi 110046",110046
"Department of Pathology, AHM & Dufferin Female District Hospital",M(EL)T-00002,NABLBCL000895,9919371000,surabhiss8@gmail.com,"Uttar Pradesh",KANPUR,"Clinical Biochemistry",NABL-M(EL)T-00002,"2020-09-17 05:30:00","23-09-17 05:30:00","Bada Chauraha, Kanpur, Uttar Pradesh 208001, India",208001
"Ayursundra Superspeciality Hospital",M(EL)T-00007,NABLBCL000915,8011005267,juri.kalita@ayursundra.in,Assam,"KAMRUP METRO","Clinical Biochemistry",NABL-M(EL)T-00004,"2020-09-17 05:30:00","23-09-17 05:30:00","Bhabanand Boro Path, Garchuk, Kamrup Metro, Guwahati, Assam 781035, India",781035
"Modi Clinical Laboratory Private Limited",M(EL)T-00001,NABLBCL000897,9825047956,drvishalhmodi@gmail.com,Gujarat,BHARUCH,"Clinical Biochemistry",NABL-M(EL)T-00001,"2020-09-17 05:30:00","23-09-17 05:30:00","Chauta Naka, Ankleshwar, Bharuch, Gujarat 393001, India",393001
"BARC Colony Dispensary Lab",M(EL)T-00004,NABLBCL000905,9448150418,sinzekurian@gmail.com,Karnataka,MYSURU,"Clinical Biochemistry",NABL-M(EL)T-00003,"2020-09-17 05:30:00","23-09-17 05:30:00","Laboratory CHSS Colony Dispensary BARC Colony, Yelawala, Mysuru, Karnataka 571130, India",571130
"Pathology Lab, District Hospital",M(EL)T-00010,NABLBCL000938,7249991637,drmonikagupta30@gmail.com,"Uttar Pradesh",AGRA,"Clinical Biochemistry",NABL-M(EL)T-00007,"2020-09-17 05:30:00","23-09-17 05:30:00","Sai Ki Takia Crossing, Agra, Uttar Pradesh 282001, India",282001
"ABC Micro Lab",M(EL)T-00009,NABLBCL000943,9842518568,nablabcmicrolab@gmail.com,"Tamil Nadu",KARUR,"Clinical Biochemistry",NABL-M(EL)T-00006,"2020-09-17 05:30:00","23-09-17 05:30:00","34, Vaiyapuri Nagar 4th Cross, Karur, Tamil Nadu 639002, India",639002
"Pathology Lab, District Hospital",M(EL)T-00013,NABLBCL000940,8839107321,drrksaxena2003@gmail.com,"Uttar Pradesh",JHANSI,"Clinical Biochemistry",NABL-M(EL)T-00008,"2020-09-17 05:30:00","23-09-17 05:30:00","Minarwa Chauraha, Jhansi, Uttar Pradesh 284002, India",284002
"Pathology Lab, Combined/TB Hospital",M(EL)T-00008,NABLBCL000935,9415001850,amitaguptalucknow@gmail.com,"Uttar Pradesh",LUCKNOW,"Clinical Biochemistry",NABL-M(EL)T-00005,"2020-09-17 05:30:00","23-09-17 05:30:00","Thakurganj, Lucknow, Uttar Pradesh 226003, India",226003
"Department of Pathology Lab, District Women Hospital",M(EL)T-00019,NABLBCL000964,7408358182,anilrock089@gmail.com,"Uttar Pradesh",PRATAPGARH,"Clinical Biochemistry",NABL-M(EL)T-00012,"2020-10-15 05:30:00","23-10-15 05:30:00","Kachari Road, Pratapgarh, Uttar Pradesh 230001, India",230001
"7techies testing",MBC-96,NABLBCL000980,9717538719,anilsharma.7t@gmail.com,Delhi,"NEW DELHI","Clinical Biochemistry","QAS-BC-Entry Level-00046","2020-09-26 22:16:21","23-09-26 22:16:21","test, NEW DELHI, Delhi 110058, India",110058
"Microtech Clinical Lab",M(EL)T-00005,NABLBCL000921,9500404035,microtech.diagnostics1@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-00009,"2020-10-15 05:30:00","23-10-15 05:30:00","362, West Masi Street, Nadar Lane, Vinayagar Temple, Madurai, Tamil Nadu 625001, India",625001
"Shri Hanuman Balaji Charitable Diagnostic Center",M(EL)T-00025,NABLBCL000991,9999673677,dr_megha_agarwal@yahoo.co.in,Delhi,SHAHDARA,"Clinical Biochemistry",NABL-M(EL)T-00015,"2020-10-15 05:30:00","23-10-15 05:30:00","Plot No. X-24, Institutional Area, Karkardooma, Shahdara, Delhi 110092, India",110092
"Oncquest Laboratories Ltd",M(EL)T-00016,NABLBCL000955,8877465656,anannya.sen@oncquest.net,"West Bengal","24 PARAGANAS NORTH","Clinical Biochemistry",NABL-M(EL)T-00011,"2020-10-15 05:30:00","23-10-15 05:30:00","BF-2, Sushma Castle, Rajarhat Main Road, 24 Paraganas North, Kolkata, West Bengal 700059, India",700059
"Pathology Lab, Dr. B. R. Ambedkar Combined Female Hospital",M(EL)T-00012,NABLBCL000936,8989016588,pshreya18@gmail.com,"Uttar Pradesh",ETAWAH,"Clinical Biochemistry",NABL-M(EL)T-00010,"2020-10-15 05:30:00","23-10-15 05:30:00","Civil Lines, Etawah, Uttar Pradesh 226001, India",226001
"National Lab",M(EL)T-00022,NABLBCL000990,9894596444,nationallabs@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-00014,"2020-10-15 05:30:00","23-10-15 05:30:00","12, P.T. Rajan Road, Narimedu, Madurai, Tamil Nadu 625002, India",625002
"Pathology Lab, District Female Hospital",M(EL)T-00021,NABLBCL000965,9520882582,me.drvandanatiwari@gmail.com,"Uttar Pradesh",MORADABAD,"Clinical Biochemistry",NABL-M(EL)T-00013,"2020-10-15 05:30:00","23-10-15 05:30:00","Civil Lines, Moradabad, Uttar Pradesh 244001, India",244001
"Jeevan Diagnostic Centre",M(EL)T-00027,NABLBCL000995,9443422337,jeevandiagnostics@gmail.com,"Tamil Nadu",TIRUCHIRAPPALLI,"Clinical Biochemistry",NABL-M(EL)T-00022,"2020-10-30 05:30:00","23-10-30 05:30:00","70B, Marsinghpet Road, Beemanagar, Tiruchirappalli, Tamil Nadu 620001, India",620001
"Chennai Diagnostic Centre",M(EL)T-00024,NABLBCL000987,9941224100,msbasheer.cdc@gmail.com,"Tamil Nadu",CHENNAI,"Clinical Biochemistry",NABL-M(EL)T-00020,"2020-10-30 05:30:00","23-10-30 05:30:00","383B/147B, Paper Mills Road, Peravallur, Chennai, Tamil Nadu 600082, India",600082
"Sri Clinical Laboratory",M(EL)T-00023,NABLBCL000982,9952270989,sriclinicallab@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-00019,"2020-10-30 05:30:00","23-10-30 05:30:00","3/770-1, Jothi Complex, Surveyor Colony, K. Pudur, Madurai, Tamil Nadu 625007, India",625007
"Pathology Lab, Combined District Hospital",M(EL)T-00014,NABLBCL000945,9670783940,0496mahi@gmail.com,"Uttar Pradesh",KAUSHAMBI,"Clinical Biochemistry",NABL-M(EL)T-00017,"2020-10-30 05:30:00","23-10-30 05:30:00","OSA Road, Manjhanpur, Kaushambi, Uttar Pradesh 212207, India",212207
"Excel Prima Diagnostics (Unit of Total X-Ray and Lab Solutions Private Limited)",M(EL)T-00006,NABLBCL000920,9845699606,xlabsolutions2016@gmail.com,Karnataka,MYSURU,"Clinical Biochemistry",NABL-M(EL)T-00016,"2020-10-30 05:30:00","23-10-30 05:30:00","72, Sukrutha Arcade, Sahukar Chennaiah Road, Saraswathipuram, Mysuru, Karnataka 570009, India",570009
"Jeyam Clinical Lab",M(EL)T-00026,NABLBCL000997,9965755986,jeyamkannan2010@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-00021,"2020-10-30 05:30:00","23-10-30 05:30:00","145/151, Alagar Kovil Main Road, Iyyappan Temple, K. Pudur, Madurai, Tamil Nadu 625007, India",625007
"Pulsepath Clinical Laboratory",M(EL)T-00018,NABLBCL000942,9909919371,pulsepath@gmail.com,Gujarat,VADODARA,"Clinical Biochemistry",NABL-M(EL)T-00018,"2020-10-30 05:30:00","23-10-30 05:30:00","FF 23, Arom Complex, Somatalav Cross Road, Dabhoi Road, Vadodara, Gujarat 390025, India",390025
"Otabu Pathlab",M(EL)T-00031,NABLBCL000958,9990412222,otabuvaibhav@gmail.com,Delhi,"SOUTH WEST","Clinical Biochemistry",NABL-M(EL)T-00024,"2020-11-14 05:30:00","23-11-14 05:30:00","Rz-9, Prem Nagar, Uttam Nagar West, South West, Delhi 110059, India",110059
"Sri Kumaran Diagnostics",M(EL)T-00033,NABLBCL001019,9865420095,skhmanavai@gmail.com,"Tamil Nadu",TIRUCHIRAPPALLI,"Clinical Biochemistry",NABL-M(EL)T-00026,"2020-11-14 05:30:00","23-11-14 05:30:00","50/9, Viralimalai Road, Manapparai, Tiruchirappalli, Tamil Nadu 621306, India",621306
